TID,Mental Space,Task tower,Atomic task,ID,Type,CleanType,Quote,Quote 2,Quote 3,Quote 4
252,Learn the productization process,Use team members to learn,Learn from others/experience what to do,AH,RCM,RCM,[00:53:52] Risks of dealing with these systems is that if you make changes to certain types of metadata it will actually break satellite for all satellite customers. So you have to be careful which things are changed when... and A lot of that knowledge is captured in the engineer's brain and not in process documents.,,,
253,Learn the productization process,Use team members to learn,Shadow other RCM engineer to learn that product,RH,RCM,RCM,"[00:40:12] it's basically like shadowing someone in RCM to see what they do for a given product and typically that process is like a groom the person to be comfortable with both With that product ,and sort of try to give them a couple of ad hoc tasks that are low risk from other products to give them a little bit more general familiarity and then eventually hand the responsibilities over to that product. ",,,
207,Maintain resources,Configure tool to work for productization,Configure brew tool to work for different configurations,AH,RCM,RCM,[00:33:29] brew that we've mentioned a couple of times. It's like a rock solid tool that pretty much doesn't give us problems and it's very flexible. It can be configured many different ways. ,,,
426,Maintain resources,Configure tool to work for productization,Make changes to product assembly,AS,PE,PE,[00:16:44] We might after make changes to our product assembly based upon changes that are requested via our whole program management team.,,,
208,Maintain resources,Document processes,Define policies for how releases are done,JB,RCM,RCM,[00:39:25] Policies and things that we define for creating things like templating how we do things. ,,,
364,Maintain resources,Document processes,Define processes for each product independently,AH,RCM,RCM,[00:03:01] There's no standard that applies to multiple products. It's all pretty much completely independent. ,,,
26,Maintain resources,Document processes,Document how builds should go ,EN,PE,PE,"[00:18:49] I had to do very in-depth research to to understand what these failures mean, for example, how they affect the component or their release and at the end all of that information ended in the Downstream document. That's how it grow up to 30 pages. ",,,
211,Maintain resources,Document processes,Document mechanical steps for a process,AH,RCM,RCM,"[00:10:32] None of us like doing the same thing everyday. So when we can at least capture it even if it's not automated, we can capture the mechanical instructions in one place.",,,
212,Maintain resources,Document processes,Document processes,RH,RCM,RCM,"[00:23:50] in our other Q are more or RCM like internal process sort of things like: investigate, you know, why we do this a certain way and/or, document this process because we don't have any documentation on it or, write a better way to or an easier interface for doing Operation X, and documented that sort of stuff",,,
453,Maintain resources,Document processes,Document processes for new members,AS,PE,PE,we're trying to document a lot of this now as we found some new members join out team,,,
243,Maintain resources,Document processes,Investigate why a task is done a certain way,RH,RCM,RCM,"[00:23:50] in our other Q are more or RCM like internal process sort of things like: investigate, you know, why we do this a certain way and/or, document this process because we don't have any documentation on it or, write a better way to or an easier interface for doing Operation X, and documented that sort of stuff",,,
214,Maintain resources,Document processes,Write down steps and requirements needed for various tasks,AH,RCM,RCM,"[00:10:06] You either learn the hard way, and start writing everything down, or you watch someone else learn the hard way and start writing everything down.",,,
215,Maintain resources,Document processes,Write release checklist (Dev ops),RH,RCM*DevOps,Other,[00:10:10] Dev ops higher than us writes the checklist.,,,
210,Maintain resources,Document resources,Create spreadsheet of templates,JB,RCM,RCM,We also have like a Google spreadsheet which I don't know is actually even active anymore but it has a list of like common ones. And I still reference it from time to time.,,,
315,Maintain resources,Document resources,Put automation scripts in repo related to a specific product to share with team,JB,RCM,RCM,"[00:07:18] But we can recycle it within our own group I guess. Well we have, we have a repo that it's like product specific we'll put scripts and stuff like that inside there. ",,,
186,Maintain resources,Document resources,Track templates,JB,RCM,RCM,[00:37:34] we have a project inside of Jira that tracks a lot of our templates.,,,
209,Maintain resources,Maintain documentation,File documentation request for new work,JB,RCM,RCM, [00:37:59] any kind of new work we do intend to file a request for documented at least keep them updated.,,,
213,Maintain resources,Maintain documentation,Mark templates as outdated,JB,RCM,RCM,[00:38:04] there is a cycle process that we can mark things that are outdated and somebody has to go back and update it make sure it's up to date. ,,,
331,Maintain resources,Maintain documentation,Update templates,JB,RCM,RCM,"[00:11:26] We were template driven for a lot of stuff, and we're always updating templates. ",,,
349,Maintain resources,Maintain tooling,Expect failures in release pipeline tools,AH,RCM,RCM,[00:07:21] You can't really say that the pipeline that the release pipeline tools break unexpectedly because we expect failures because they're so common.,,,
330,Maintain resources,Maintain tooling,Live patch failures in release pipeline tools,AH,RCM,RCM,"[00:07:34] like live patching with, you know fixes specific to the issue",,,
380,Maintain resources,Maintain tooling,Maintain brew tool,AH,RCM*DevOps,Other,[00:08:05] there's other groups in dev ops which maintain some of the bigger tools like brew or Koji,,,
381,Maintain resources,Maintain tooling,Maintain errata tool,AH,RCM*DevOps,Other,[00:08:24] errata tool is also maintained by another team in dev ops.,,,
339,Maintain resources,Maintain tooling,Maintain outdated scripts,AH,RCM,RCM,"[00:34:09] then the tools that we probably have the most problems with must be the scripts that we write ourselves. They're operating in a constantly changing environment so a script that you wrote that worked last week, you could run it again and it would probably fail a couple weeks later. ",,,
340,Maintain resources,Maintain tooling,Manage constantly changing environments,AH,RCM,RCM,"[00:34:09] then the tools that we probably have the most problems with must be the scripts that we write ourselves. They're operating in a constantly changing environment so a script that you wrote that worked last week, you could run it again and it would probably fail a couple weeks later. ",,,
357,Maintain resources,Maintain tooling,Troubleshoot release pipeline tools,AH,RCM,RCM,[00:07:21] You can't really say that the pipeline that the release pipeline tools break unexpectedly because we expect failures because they're so common.,,,
332,Maintain resources,Maintain tooling,Upgrade tools used,AH,RCM,RCM,"[00:27:27] The projects are the sort of improvements or widely applicable fixes that need to happen. For example. There was a tool called Distill that was replaced by a tool called bungee. But the switchover required some amount of effort that varied based on the product. Of course, so every engineer, release engineer that was associated with a product that was using distill had to go and make all these changes. In order to sunset that tool in a reasonable amount of time, that was like a project that was coordinated independently so that it wasn't just waiting for each release engineer to get around to it. So a couple of people were dedicated to going in making this configuration changes on behalf of everybody.",,,
409,Maintain resources,Manage hardware,Be responsible for hardware ,JB,RCM*UD,UD,"[00:43:00] like different products have their own cost group so the hardware to do it, where it runs, I think that probably plays a role in it too because like say REV. Rev is not going to want to share resources if it's coming out of their budget.",,,
543,Maintain resources,Manage hardware,Use restricted resources (machines & hardware),PG,PE,PE,[00:51:53] group like ours can't really request more machines and hardware. ,,,
466,Prep work for products,Configure for release,Update YAML files to reference newly built artifacts,AS,PE,PE,[00:49:25] updating some yaml files to reference artifacts that we just built,,,
6,Prep work for products,Configure Infra,Create build repo branch,EE,PE,PE, [00:07:58] your first step is just creating a the build repo branch.,...You can't do it in one step because you can't create the delivery repositories before you create the build repositories. ,,
28,Prep work for products,Configure Infra,Create delivery repositories,EN,PE,PE,[00:23:22] Then we create something which is called delivery repositories. It's something we use at the end of the release process. It's just before the clients received the product but it's usually created on the same system as the build repositories. It's usually easier to do it in two steps. You can't do it in one step because you can't create the delivery repositories before you create the build repositories. But for someone that's already did this process a few times manually because before we actually got it to work on some automation. That's the natural way to do it.,,,
27,Prep work for products,Configure Infra,Create new repositories to put code to be productized,EN,PE,PE,[00:22:43] First we need to create some new repositories. If we're talking about new components of branches if we're using these for new versions of existing components.,,,
37,Prep work for products,Configure Infra,Define installation script,EN,PE,PE,"[00:34:59] So the release process looks a bit different because you can't, you can't have this dependency but usually you have some script or some automation. Script again. Yeah. That you say. Okay. Please install CNV and it installs all the components it needs.",,,
504,Prep work for products,Configure Infra,List each repo build configuration in one big config file,PG,PE,PE,[00:17:05] You have one big configuration file where you list each each repository as a separate build configuration.,,,
33,Prep work for products,Configure Infra,"Once per product, write files that define how the product is built",EN,PE,PE,"[00:26:02] there are a few files, like for example a spec file and docker file and container yaml file and content sets yaml file for example, which describe how the product is built and this is which remains the same between the release.",,,
571,Prep work for products,Create errata,Attach package to errata,MP,UD,UD,"say hey I have a new cockpit package that fixes bugs one to three, and three four five, and five six seven and whatever. And then you document the changes there and then you attach your new package there.",,,
573,Prep work for products,Create errata,Avoid creating new erratum when pre-beta,MP,UD,UD,like while RHEL 8 was in development like pre-beta. I just added the new version to an existing erratum.,,,
41,Prep work for products,Create errata,Create advisory for all container builds,EN,PE,PE,"00:40:32] There are many different ways to manage these advisories. For REV for example, each component has its own advisory. And for open shift for example they use a single advisory for bunch of components. Currently for CNV we use only two advisories one for all container builds, and one advisory for all PRM builds.",,,
42,Prep work for products,Create errata,Create advisory for all RPM builds,EN,PE,PE,"00:40:32] There are many different ways to manage these advisories. For REV for example, each component has its own advisory. And for open shift for example they use a single advisory for bunch of components. Currently for CNV we use only two advisories one for all container builds, and one advisory for all PRM builds.",,,
34,Prep work for products,Create errata,Create batch in errata tool,EN,PE,PE,[00:26:55] we create something which is called batch in our system which is called the errata tool.,,,
569,Prep work for products,Create errata,Create errata,MP,UD,UD,So you would create an errata,,,
53,Prep work for products,Create errata,Create errata at beginning of release cycle,EN,PE,PE,"Katie: [00:51:56] in that three month cadence are these erratas created?; Emil: [00:52:03] We create it almost immediately. When we, once we start a new release we create these erratas.",,,
89,Prep work for products,Create pipelines,Build out a complete flow of a build,NC,QE,QE,[00:04:25] have a complete flow of a build but we are not there yet.,,,
127,Prep work for products,Create pipelines,Create pipelines (in Jenkins),NC,QE,QE,[00:28:35] the pipelines are created on the JENKINS server.,,,
126,Prep work for products,Create pipelines,Write code in repository used by QE team,NC,QE,QE,[00:28:23] Our pipeline jobs are also there. So it's a bucket of everything QE needs downstream. And this is feeding Jenkins,,,
327,Prep work for products,Create release artifacts,Create dist-git branches,RH,RCM,RCM,"[00:23:30] I have two ticket queues. One is like day to day product work so, something needs a dist-git branch - or well a lot of that is self-service now - but mean it has a brew problem like their build is failing. I'll go through some of those tickets, and answer those. ",,,
68,Prep work for products,Create release artifacts,Create errata advisories,EN,PE*PM,PM,[00:46:30] Initially it was a me and Eyal. I mean my team that did that and then it was the developers following the documentation we provided. And now because we have only two advisories it's the product manager that created,,,
302,Prep work for products,Create release artifacts,Create release batches in errata tool,EN,PE*RCM,RCM,Emil: [00:56:37] creation of the release batches,,,
368,Prep work for products,Create release artifacts,Do new product version setups,RH,RCM,RCM,[00:42:43] Like new products version setups is like just a rehearsed monotony for me ,,,
370,Prep work for products,Create release artifacts,Do repetitive product setup tasks,RH,RCM,RCM," [00:24:30] I know developer tools is having a new release in January, and granted when product teams are good, as developer tools is, they all kind of file those tickets for me instead of me ?? Myself just to track and that involves a host of, through dist-git, punchy, which is one of our compose tool setup, errata tool that's like a soup to nuts enablement of a given product version. ",,,
196,Prep work for products,Create release artifacts,Set up brew configuration for certain RPMs,RH,RCM,RCM,[00:13:10] there is some brew configuration for some certain RPMs and parts that they actually are trying to build in brew that I've worked with some of their engineers,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,
197,Prep work for products,Create release artifacts,Set up brew tags in build system,JB,RCM,RCM,[00:02:53] We set out the brew tags in the build system so they're able to build stuff. Set up a repository so they can commit their code.,,,
198,Prep work for products,Create release artifacts,Set up container catalog.,RH,RCM,RCM,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,,
199,Prep work for products,Create release artifacts,Set up dist-git,RH,RCM,RCM,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,,
200,Prep work for products,Create release artifacts,Set up download page,RH,RCM,RCM,[00:12:56] setting up the area of the download page where we're going to be dropping the Q Cal image.,,,
201,Prep work for products,Create release artifacts,Set up errata tool for each product,JB,RCM,RCM,[00:03:08] And errata tool will have to be set up for each product where it sends things were it ships things.,,,
203,Prep work for products,Create release artifacts,Set up product variants in errata tool,JB,RCM,RCM,"[00:04:15] We have multiple variants so you'll have a client, a workstation, desktop, server, different bundles of code that we would set up multiple variants for that and bundle lo each variant would have a set of repositories for where everything actually ships.",,,
204,Prep work for products,Create release artifacts,Set up Pulp,RH,RCM,RCM,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,,
205,Prep work for products,Create release artifacts,Set up repository for dev teams,JB,RCM,RCM,[00:02:53] We set out the brew tags in the build system so they're able to build stuff. Set up a repository so they can commit their code.,,,
362,Prep work for products,Define correct configuration,Define configuration for each container,JB,RCM,RCM,"[00:34:59] for instance the containers that I'm sending out now basically we have to tell it where we're sending it, What repository we're sending it, And then what tags we're adding to it",,,
363,Prep work for products,Define correct configuration,Define metadata for product configuration (automation),AH,RCM,RCM,"[00:28:37] we had a project to try to capture the, in the abstract, the metadata that defines a product configuration. But that turned out not to be high priority enough when there was a bunch of other stuff going on so that never got anywhere. ",,,
235,Prep work for products,Hardware for releases,Add new hardware support to releases,JB,RCM,RCM,"[00:08:04] We also have power 9, which not technically another architecture is just newer hardware. So we're shipping that and it's last minute additions to get everything added in there.",,,
236,Prep work for products,Hardware for releases,Put products onto supported hardware,RH,RCM,RCM,[00:09:42] And so the question of do we even bother trying to make OSBS adopt the behavior for this one off or do we just get that team to make sure they meet this checklist of requirements that RCM and product security have. And if so just to put it on supported hardware and bless it,,,
8,Prep work for products,Mapping between tools,Create brew tag,EE,PE,PE,"[00:08:22] what we are seeing work they need to create a brew tags, they need to create the errata tag for that [garbled] stream. They need to work with, I don't know if it's them or the project manager creates the BugZilla versioning and the ACL mapping between, in order to create a wide stream errata or you'd have to be you have to map components from BugZilla to errata.",,,
596,Prep work for products,Mapping between tools,Ensure product SKUs are tied with Engineering IDs,MM,PM,PM,Making sure that it's released in a way it's actually it's got there's product SKUs that have to be tied in with something called engineering IDs. ,,,
7,Prep work for products,Mapping between tools,Map between ACL and errata,EE,PE,PE,"[00:08:22] what we are seeing work they need to create a brew tags, they need to create the errata tag for that [garbled] stream. They need to work with, I don't know if it's them or the project manager creates the BugZilla versioning and the ACL mapping between, in order to create a wide stream errata or you'd have to be you have to map components from BugZilla to errata.",,,
64,Prep work for products,Set up for build,Create branch in dist-git repo for build,EN,PE,PE,[00:09:42] And if we have the branch in the dist-git repositories where we do actually the build. ,,,
20,Prep work for products,Set up for build,Define components and subcomponents in release,EN,PE,PE,[00:05:59] product. The product consists of components and these components are built from subcomponents. ,,,
31,Prep work for products,Set up for build,Define file of how component is built,EN,PE,PE,[00:25:10] What we have in the build repositories is two things. One is your files that describe how the component is built. And these are usually the same for each release. Maybe they change but usually they are the same.,,,
65,Prep work for products,Set up for build,Set configuration for repository if multi-stage build,EN,PE,PE, [00:09:59] for using multi-stage rules then certain configuration must be set for for that repository. ,,,
414,Prep work for products,Set up for build,Take list of repositories and commits from handover doc and put in config file,AS,PE,PE,"[00:09:49] we take the repositories and the commits, put them into our config and we build this in brew.",,,
391,Prep work for products,Setup build config,Engage RCM to set up product configuration,AH,RCM*PE,PE,[00:35:23] once they understand what the product should look like then RCM will help set up the initial configuration to get the engineering team ready to actually get builds going.,,,
291,Prep work for products,Setup build config,Manually set up for each product,JB,RCM,RCM,[00:06:17] It is the same process basically. But you have to do it multiple times. ,,,
390,Prep work for products,Setup build config,Understand what a new product should look like,AH,RCM*PE,PE,[00:35:23] once they understand what the product should look like then RCM will help set up the initial configuration to get the engineering team ready to actually get builds going.,,,
496,Prep work for release,Branch maintenance,Create product branch on each of the component repos that make up a product,PG,PE,PE,[00:12:30] I work on the product branches that I create on all of the 40 plus repos that vertex of made up of at the minute - the product - and I create product branches on all of them. ,,,
498,Prep work for release,Branch maintenance,Merge forward product changes from last product branch,PG,PE,PE,"[00:13:43] Then merge forward what I did on the last product branch, taking into account all the conflicts that we have. And then I'll tag",,,
535,Prep work for release,Branch maintenance,Merge product forward from last version,PG,PE,PE,merge the product stuff in git forward from the last version you did the build to this and then tag it.,,,
524,Prep work for release,Branch maintenance,Merge productization changes forward,PG,PE,PE,[00:39:14] productization anything we do internally that doesn't get pushed upstream has to be merged forward.,,,
382,Prep work for release,Document product,Documentation team works with dev team [needs expansion[,Joey,RCM*Docs,Other,Documentation team comes online as well. They set up all the text everything that goes on between sending it out the door and getting the builds set up to be shipped. ,,,
451,Prep work for release,Errata,Attach cloud images to erratum,AS,PE,PE,"[00:41:49] these are all the GA so for example we might have to create a erratums where we attach the cloud images to and that part of the RCM release process. Those can be reused so we can just remove any builds that we add, and readd some new ones. I would say 95 percent of the tasks have to be repeated.",,,
450,Prep work for release,Errata,Create erratums,AS,PE,PE,"[00:41:49] these are all the GA so for example we might have to create a erratums where we attach the cloud images to and that part of the RCM release process. Those can be reused so we can just remove any builds that we add, and readd some new ones. I would say 95 percent of the tasks have to be repeated.",,,
43,Prep work for release,Errata,Manually manage errata,EN,PE,PE,"[00:41:40] RPMs. Initially we used to have two advisories per component. So the networking had two advisories one from containers and one for RPMs and virtualization had two advisories and etcetera, but managing this was a very time consuming because of the work we did with errata was done manually",,,
452,Prep work for release,Errata,Reuse previous erratum and update images,AS,PE,PE,"[00:41:49] these are all the GA so for example we might have to create a erratums where we attach the cloud images to and that part of the RCM release process. Those can be reused so we can just remove any builds that we add, and readd some new ones. I would say 95 percent of the tasks have to be repeated.",,,
360,Prep work for release,Plan for release,Block new builds from going into nightly composes,AH,RCM,RCM,"for RHEL8 we have a certain stage, I think it's called development phase exit. And at that point we enable errata tool base gating to prevent new builds from entering the nightly composes automatically. So at that point if you tag inheritance and brew for that version and representing that with any of our existing systems is really difficult. So it's basically up to release engineering to sort of remember to do a task on a date and then coordinate the effects of that with the rest of the program.",,,
421,Prep work for release,Plan for release,Create properties file with meta info about builds,AS,PE,PE,"[00:12:20] we actually use the universal message bus to send a message via Jenkin's and that will contain a link to a properties file and within that properties file it will have some meta information about the build that we've just produced, like the location of the artifacts, um and some versions,",,,
72,Prep work for release,Plan for release,Do prep work for release process,EN,PE*RCM,RCM,[00:23:03] As Eyal mentioned in the comments there is some work done by RCM before that ,,,
290,Prep work for release,Plan for release,Prestage work for releases - appliance images,JB,RCM,RCM,"[00:22:46] I'm able to pre stage a lot of the stuff like the appliance images those you have to kind of download, you have to sort them into the right directories.",,,
401,Prep work for release,Prep for release,Build individual packages,AH,RCM*UD,UD,[00:02:15] the engineering teams are responsible mostly for building individual packages that go into the operating system and then there's also this layer of packaging things into repositories and generating these other artifacts that are really only material to operating systems and not the products that are built on top of them. ,,,
359,Prep work for release,Prep for release,Configure pub,JB,RCM,RCM,We just have the sort of configuration files that tell it where it needs to go what its sending. ,,,
292,Prep work for release,Prep for release,Copy configuration file from last release (to prep for the new),RH,RCM,RCM,[00:35:53] Lisa basically preps a file that has her configuration from a previous time. There's a bunch of find and replaces. Sanity tests because every CDN distribution repository we have has a line in a CSV file which is a reflection of database entry.,,,
293,Prep work for release,Prep for release,Copy older configurations and bump version number,JB,RCM,RCM,[00:07:47] Typically no. I'll say Open Stack for an example. Mostly everything would be the same. Bumped the version that would be the only main difference. ,,,
22,Prep work for release,Prep for release,Copy tracking spreadsheet from last release to a new one,EN,PE,PE,[00:13:23] once we start with new release we actually copy the information we had from the previous release and some of the informational adjustments connected to this release.,,,
314,Prep work for release,Prep for release,Link between build location and release location,JB,RCM,RCM,"[00:34:51] We link everything together where everything gets built from, where everything goes, how everything gets in there Like using errata tool. ",,,
304,Prep work for release,Prep for release,Manage delivery configurations,AH,RCM,RCM,[00:01:08] CEPH for example has got like one productization team of two people and they produce a bunch of artifacts and it's our job just to kind of manage the builds and delivery configurations for them. ,,,
376,Prep work for release,Prep for release,Mentally organize content to configure builds,AH,RCM,RCM,[00:09:42] the setup that's required for it involves managing a lot of sort of like holding a lot of bits of configuration in your head at the same time to make sure that you're putting the right things in the right places.,,,
393,Prep work for release,Prep for release,Organize and be responsible for release,JB,RCM*PE,PE,[00:13:53] they drive the group between what needs to be set up and everything that happens between the initial setup and driving it out the door.,,,
139,Prep work for release,Prep for release,Reach out to get builds,NC,QE*PE,PE,"[00:12:44] So as you can see three weeks ago he was sending an email. Hey, we are done with the planning. Give me some builds.",,,
75,Prep work for release,Prep for release,Reference build document to know what is needed for components,EN,PE*UD,UD,[00:17:29] the build document describes what is needed for each type of component. ,,,
60,Prep work for release,Prep for release,Use downstream guide to guide how the packaging process works,EE,PE*UD,UD,"[00:15:40] when they decide to add the new components to the product then, they need to adapt to certain way of creating the downstream builds. It's much more complicated for them than just writing code and doing some tests.",,,
140,Prep work for release,Schedule work,Adapt to changing release dates,AH,RCM,RCM,"[00:41:05] The RHEL program is living day to day like, its planned so that like basically we won't have sign off from quality engineering that we can ship until the day before we need to ship. And you know you had a couple of complications there and suddenly it's the hour before or the minute before. And you know if a problem comes up hopefully everybody is online that can answer the question and make sure it's OK. Make the call. Someone eventually makes the call and then we press the button or we don't. ",,,
478,Prep work for release,Schedule work,Change schedules based on community release results,PG,PE,PE,[00:05:46] you have this Upstream Group that outside Red Hat that's changed all sorts of things in a minor release. What do you do? Paul: [00:05:57] Normally just change schedules!,,,
605,Prep work for release,Schedule work,Communicate release date,MM,PM,PM,you say things so many times like release dates make decisions making them very visible making them accessible ,,,
286,Prep work for release,Schedule work,"Plan work that is ""planned""",AH,RCM,RCM,[00:27:03] Yeah probably like 15 to 25 hours a week of meetings and tickets and then planned work which we try to track with tickets. ,,,
287,Prep work for release,Schedule work,Plan work with Kanban board,RH,RCM,RCM,[00:25:11] I primarily interact with a Kanban board ,,,
298,Prep work for release,Schedule work,Schedule a release,AH,RCM,RCM," [00:39:29] time. It varies based on products but for some products you know the quality engineering team will put the advisory in a certain state and then you know three days after that date change or something will be the release date. For some programs like Rel where we're, you know, deeply involved in the program. It's just a date that everyone is talking about and we all agree on that because it takes you know three or four different teams to coordinate to make those dates happen because of all that back and forth.",,,
455,Prep work for release,Set up for build,Update config file based on hand over doc,AS,PE,PE,We generally spend I would say a few hours updating the config and checking it over. This config is basically specific to our tooling so were essentially replicating the repository elements and putting those into our config.,,,
312,Previous release maintenance,CVEs,Get resources to cover possible CVEs,RH,RCM,RCM,"[00:23:07] there's this there's this secret thing that I can't tell you about that's going to be coming soon that we're going to have to do crazy amount of container releases for... It just a big wink wink that a CVE is coming. I don't know. Those sort of like, responding to, you know, how ready are we? And are we going to need resources for that? Sort of thing.",,,
288,Previous release maintenance,CVEs,Prepare [resources] for CVEs before officially announced,JB,RCM,RCM,[00:33:59] we've had other times where we knew that you know like the CVE I think we kind of knew that it was going to happen but we had to wait until somebody broke you know broke silence and that's when we all kind of got called in. ,,,
321,Previous release maintenance,Maintain already-done releases,Change version tag on already released image,RH,RCM,RCM,[00:49:00] Can you apply this new version tag to this already released image so the installer won't be broken.,,,
549,Previous release maintenance,Maintain already-done releases,Manage patch releases for all historical builds,PG,PE,PE,[00:57:34] because the more builds I do the more patch releases I might have to deal with them builds ,,,
600,Previous release maintenance,Maintain already-done releases,Track multiple releases at the same time,MM,PM,PM,That's typical to have three maybe even four releases simultaneously being tracked. They're just in different phases of that life cycle.,,,
559,Release quality,Approve changes,Approve landing changes in product (QE),MP,UD*QE,QE,"If I tell our QE engineer Hey I would like to land this, he generally says yes because generally we've been we managed to not break stuff.",,,
285,Release quality,Beta releases,Manual work sorting things out for beta releases,JB,RCM,RCM,"[00:25:26] The full release is all driven through errata tool. I just click button where beta, beta release is a lot of manual work sorting everything out.",,,
307,Release quality,Beta releases,Manually release beta releases,RH,RCM,RCM,[00:17:12] if I say that and I need like an itemized list of the containers that we're releasing for this release like for a beta release ,,,
108,Release quality,Determine when to start testing,Determine when to start testing builds,NC,QE,QE,"[00:16:51]  the leads was answering, were answering ""hey I'm done, hey I'm done, storage is done"" blah blah blah. And then I know that at least according to them, its ready. So then we can go ahead and try it.",,,
109,Release quality,Determine when to start testing,Use time and deadlines to decide when to start testing,NC,QE,QE,"[00:16:51] So for example 1.4 should go out in 2 months, a bit less. ... So then we can go ahead and try it.",,,
100,Release quality,Determine when to start testing,Watch for message about complete builds,NC,QE,QE,"[00:10:22] there should be like a defined message right. You need to have a specific subject to look for, to listen to, and some attributes probably. Once you have once you are supporting multiple versions then you need the version to know what to trigger. But it's really about defining it. Defining it. So the version link maybe to, to Brew. With all the bits ",,,
469,Release quality,Get health grade,Ensure health grade is an A,AS,PE,PE,e must fit and fix it in in the time that we have. So I think we generally strive to have images released as A.,,,
468,Release quality,Get health grade,Get health grade for images,AS,PE,PE,The importance the importance of attaching to errata is that it provides us with a health grading,,,
1,Release quality,Get health grade,Health index grade and security checks run automatically off errata tool,EN,AUTO,AUTO,Katie: [00:53:27] So this health index grade and product security team and all that that seems to me like it's after the QE is sort of signing off on it?; Emil: [00:53:38] No. All of this is done by automated systems. ,,,
102,Release quality,QE handover,Be told where upstream builds are saved,NC,QE,QE,"[00:10:22] there should be like a defined message right. You need to have a specific subject to look for, to listen to, and some attributes probably. Once you have once you are supporting multiple versions then you need the version to know what to trigger. But it's really about defining it. Defining it. So the version link maybe to, to Brew. With all the bits ",,,
101,Release quality,QE handover,Be told which specific versions to test,NC,QE,QE,"[00:10:22] there should be like a defined message right. You need to have a specific subject to look for, to listen to, and some attributes probably. Once you have once you are supporting multiple versions then you need the version to know what to trigger. But it's really about defining it. Defining it. So the version link maybe to, to Brew. With all the bits ",,,
49,Release quality,QE handover,Change errata stage when updating components,EN,PE,PE,[00:45:03] If you have 50 builds 50 components in one errata then each time you need to update a component because you did a new build it actually moves the errata to new fall stage (?) and then you move it back to QE and again much more complicated for the QE.,,,
326,Release quality,QE handover,Generate artifacts for QE to inspect,AH,RCM,RCM,[00:06:33] there's another phase where we're generating these like sort of frozen more polished artifacts for the quality assurance group to inspect more closely. ,,,
400,Release quality,QE handover,Get artifacts from RCM,AH,RCM*QE,QE,[00:06:33] there's another phase where we're generating these like sort of frozen more polished artifacts for the quality assurance group to inspect more closely. ,,,
499,Release quality,QE handover,Hand over product to QE for testing,PG,PE,PE,"Then you analyze what happened and if that's OK you might say we're all ready, I might hand that over to QE for testing",,,
14,Release quality,QE handover,Move errata to QE,EE,PE,PE,"[00:13:54] every container imaginable needs to an tar ball and you need to create the manifest file and the security checks were raised. You need to make sure the container catalog is updated. So we try to make sure that all those milestones are taken into account. Also moving errata to QE, you know not at the last minute",,,
48,Release quality,QE handover,Move errata to QE stage,EN,PE,PE,[00:44:28] Then the way it works with erratas is there are few stages. The first stage we add the contents to errata. The second stage we move errata to QE. ,,,
467,Release quality,QE handover,Put references to cloud images on Jira tickets for QE,AS,PE,PE,This involves us posting the references to these images on on the Jira ticket we create,,,
70,Release quality,QE handover,Review content in an errata advisory,EN,PE*QE,QE,[00:44:41] QE can start and check that content. ,,,
104,Release quality,QE handover,Search for tags in brew to find correct build,NC,QE,QE,"[00:11:39] At the moment it's mails. ""Hey. Where are the builds? Here is mine, here is mine. And then we go to Brew we search for the tag and we know what we need to do.",,,
50,Release quality,Report issues,Add bugs to errata advisories,EN,PE,PE,[00:47:05] They're created and we add content to them. We add builds and we add bugs. That's what we do. ,,,
116,Release quality,Report issues,Add labels to issues in repository,NC,QE,QE,[00:23:25] The same labels I mean we have the same labels in [garbled] so it can be done there as well.,,,
438,Release quality,Report issues,File exceptions based on prod gate results with Vault,AS,PE*PM,PM,our program manager will file exceptions based upon the contents of this document,,,
93,Release quality,Report issues,Google search solutions to problems,NC,QE,QE,[00:06:44] But eventually what I did is a Google search it and I found a bug about it.,,,
121,Release quality,Report issues,Hand over documentation to team lead,NC,QE,QE,[00:25:49] So at this point I'm trying to hand the doc to the team lead so I don't want to look at it almost ever. But I do sometimes. ,,,
444,Release quality,Report issues,Report issues to upstream,AS,PE*QE,QE,They may find issues that the community team need to fix. Then the community team will address that. We will get a new hand over,,,
120,Release quality,Report issues,Review issue list to see what is high priority,NC,QE,QE,[00:24:11] I would expect people to first look at the p0 but I'm looking at the issue as I can say for myself.,,,
94,Release quality,Report issues,Search for Bugzilla reports for problems,NC,QE,QE,[00:07:17] the best thing about Bugzilla is that when you google search out the bugzilla will pop up quite quickly if you if you're putting the right words. ,,,
115,Release quality,Run tests,Add tests to CVP process,NC,QE,QE," [00:19:53] joining the CVP process, the CVP process Container verification pipeline process. At least to add the tests part of it",,,
540,Release quality,Run tests,Build with Jenkins,PG,PE*QE,QE,that has to also integrate with other Jenkins builds at this point from QE to get them to run ,,,
